Idx,Tickers
257,STZ
258,DHI
259,TSN
260,VNO
261,PSA
262,AMP
263,LEN
264,AMZN
265,VIAB
266,EL
267,VRSN
268,KIM
269,BXP
270,GOOGL
271,JNPR
272,CME
273,WU
274,CELG
275,FIS
276,CBRE
277,CTSH
278,AVB
279,RL
280,VAR
281,CHRW
282,HST
283,MDLZ
284,AIZ
285,DFS
286,AKAM
287,JEF
288,MCHP
289,ICE
290,EXPE
291,NBL
292,EXPD
293,JEC
294,AMT
295,PM
296,ISRG
297,COG
298,MA
299,DVA
300,IVZ
301,CF
302,FAST
303,CRM
304,LHX
305,PXD
306,APH
307,FLS
308,NDAQ
309,WEC
310,SJM
311,PBCT
312,XRAY
313,WYNN
314,RSG
315,FLIR
316,IRM
317,WELL
318,HRL
319,VTR
320,ES
321,ORLY
322,WDC
323,PWR
324,FMC
325,BKNG
326,ROST
327,V
328,ROP
329,NRG
330,HP
331,DISCA
332,OKE
333,CERN
334,KMX
335,CB
336,IR
337,FFIV
338,NFLX
339,EW
340,BLK
341,CMG
342,MPC
343,ACN
344,MOS
345,TEL
346,XYL
347,PRGO
348,BWA
349,DLTR
350,TRIP
351,CCI
352,PSX
353,KMI
354,ALXN
355,LRCX
356,MNST
357,STX
358,LYB
359,PNR
360,DG
361,GRMN
362,APTV
363,ABBV
364,PVH
365,REGN
366,MAC
367,KSU
368,GM
369,ZTS
370,NWSA
371,NLSN
372,DAL
373,AME
374,VRTX
375,CPRI
376,ALLE
377,MHK
378,ADS
379,FB
380,TSCO
381,ESS
382,GOOGL
383,UAA
384,AVGO
385,XEC
386,AMG
387,MLM
388,DISCA
389,UHS
390,URI
391,RCL
392,HCA
393,SWKS
394,HSIC
395,AAL
396,SLG
397,EQIX
398,HBI
399,O
400,QRVO
401,JBHT
402,WRK
403,KHC
404,AAP
405,PYPL
406,ATVI
407,UAL
408,NWSA
409,VRSK
410,HPE
411,SYF
412,ILMN
413,CHD
414,WLTW
415,EXR
416,FRT
417,CFG
418,CXO
419,AWK
420,UDR
421,HOLX
422,CNC
423,FL
424,UAA
425,ULTA
426,GPN
427,ALK
428,DLR
429,LKQ
430,AJG
431,TDG
432,FBHS
433,LNT
434,ALB
435,FTV
436,MTD
437,CHTR
438,COO
439,COTY
440,ARNC
441,MAA
442,IDXX
443,FTI
444,INCY
445,CBOE
446,REG
447,DISH
448,SNPS
449,AMD
450,RJF
451,ARE
452,DXC
453,IT
454,INFO
455,HLT
456,RE
457,ANSS
458,ALGN
459,AOS
460,DRE
461,MGM
462,RMD
463,PKG
464,BHF
465,IQV
466,SBAC
467,CDNS
468,NCLH
469,HII
470,IPGP
471,SIVB
472,TTWO
473,NKTR
474,MSCI
475,ABMD
476,EVRG
477,TWTR
478,HFC
479,BR
480,FLT
481,CPRT
482,ANET
483,WCG
484,ROL
485,FTNT
486,KEYS
